product_id,time_id,customer_id,store_sales_sum,store_cost_sum,unit_sales_sum,fact_count
337,371,6280,1.5000,0.5100,2.0000,1
1512,371,6280,1.6200,0.6318,3.0000,1
963,371,4018,2.4000,0.7200,1.0000,1
181,371,4018,2.7900,1.0323,3.0000,1
1383,371,4018,5.1800,2.1756,2.0000,1
1306,371,4018,7.4100,2.7417,3.0000,1
1196,371,1418,5.8400,1.9856,2.0000,1
360,371,1418,2.6200,1.0480,2.0000,1
1242,371,1418,3.9600,1.7028,2.0000,1
154,371,1418,1.9600,0.7252,1.0000,1
483,371,4382,3.8800,1.7072,2.0000,1
77,371,1293,5.6000,2.8000,2.0000,1
533,371,1293,4.8400,2.3232,2.0000,1
310,371,1293,0.7600,0.3420,1.0000,1
1392,371,1293,0.8300,0.3735,1.0000,1
1303,394,9305,1.3600,0.4352,2.0000,1
748,394,9305,4.4000,1.9360,2.0000,1
1270,394,9305,2.6900,1.0491,1.0000,1
311,394,5649,6.4500,2.3865,3.0000,1
194,394,5649,3.3600,1.5120,1.0000,1
544,394,5649,2.9500,1.0325,1.0000,1
610,394,6319,2.2700,0.7491,1.0000,1
854,394,6319,1.6000,0.6880,1.0000,1
538,394,6319,1.8600,0.7440,2.0000,1
72,394,1771,5.4800,2.0824,2.0000,1
182,394,1771,1.8400,0.7360,1.0000,1
265,394,1771,3.6100,1.3718,1.0000,1
15,394,1771,4.5800,1.6030,2.0000,1
764,394,1771,7.6200,2.6670,2.0000,1
335,394,3211,3.7400,1.2716,1.0000,1
924,394,3211,2.7000,0.8910,1.0000,1
302,394,3211,3.4500,1.3455,1.0000,1
1024,394,3211,7.9000,3.5550,2.0000,1
2,394,3211,0.7400,0.2960,1.0000,1
1211,376,4217,7.5800,2.3498,2.0000,1
1055,376,4217,3.2400,1.1988,2.0000,1
379,376,4217,7.7000,3.6960,2.0000,1
1017,376,4772,5.7800,2.6010,2.0000,1
1221,376,4772,2.9800,1.1324,2.0000,1
1437,376,4772,3.4800,1.5660,2.0000,1
375,376,4772,4.5800,2.1068,2.0000,1
1177,376,4772,1.5400,0.7546,1.0000,1
1155,376,4772,3.7600,1.6544,2.0000,1
79,376,4772,1.3200,0.5544,1.0000,1
212,376,4787,3.3200,1.5272,2.0000,1
934,376,4787,1.1000,0.4400,1.0000,1
1471,376,4787,1.5500,0.6510,1.0000,1
275,376,4787,6.5400,2.0274,2.0000,1
809,376,2508,2.4400,0.8784,2.0000,1
1091,376,2508,7.1200,3.4888,2.0000,1
243,376,2508,2.1100,0.7385,1.0000,1
1231,376,2508,3.7100,1.3356,1.0000,1
56,376,1493,0.7100,0.2982,1.0000,1
965,376,1493,3.0600,1.1934,2.0000,1
209,376,1493,1.8700,0.7667,1.0000,1
1331,376,1493,2.7400,1.0686,1.0000,1
255,376,1493,0.6400,0.2304,1.0000,1
366,376,1493,4.7200,1.6992,2.0000,1
842,395,8178,6.4000,2.1120,2.0000,1
1364,395,8178,3.2000,1.5680,2.0000,1
942,395,8178,4.6800,1.8252,2.0000,1
1064,395,8178,1.0800,0.3240,2.0000,1
282,395,8178,0.9300,0.3999,1.0000,1
1485,395,8178,3.0000,1.0800,2.0000,1
542,395,7525,1.5100,0.4681,1.0000,1
1118,395,7525,2.9300,1.2306,1.0000,1
948,395,7525,8.8800,2.9304,3.0000,1
632,395,7525,0.8300,0.2739,1.0000,1
22,395,7525,6.8700,3.0915,3.0000,1
293,395,7525,1.6000,0.5280,1.0000,1
309,395,7525,3.6200,1.2308,1.0000,1
86,395,3628,5.9400,2.0790,2.0000,1
490,395,3628,1.6500,0.8250,1.0000,1
107,395,3628,3.6200,1.1222,2.0000,1
1255,395,3628,1.2400,0.4960,1.0000,1
513,395,3628,1.1600,0.4176,2.0000,1
879,395,3182,2.2200,0.7548,2.0000,1
1228,395,3182,4.3800,1.9272,2.0000,1
180,395,3182,1.3800,0.6486,2.0000,1
623,395,3182,3.6000,1.3680,2.0000,1
1265,395,3182,1.4400,0.5904,2.0000,1
340,395,8878,0.6300,0.2079,1.0000,1
556,395,8878,6.5000,2.7300,2.0000,1
443,395,5164,2.6600,1.1970,2.0000,1
221,395,5164,7.3200,2.4888,2.0000,1
1302,395,5164,3.7000,1.7390,2.0000,1
759,395,5164,3.7800,1.1718,2.0000,1
830,395,5164,2.4500,0.9555,1.0000,1
1446,395,5164,1.2600,0.5418,1.0000,1
743,395,5164,1.9200,0.7872,2.0000,1
826,374,8854,1.8300,0.6954,1.0000,1
1003,374,8854,1.5600,0.7020,2.0000,1
886,374,8854,3.1100,1.3684,1.0000,1
726,374,599,6.4200,2.3112,2.0000,1
1302,374,599,1.8500,0.7030,1.0000,1
1545,374,599,2.2900,0.8473,1.0000,1
281,374,9617,2.6300,0.8942,1.0000,1
763,374,9617,2.5500,1.1730,1.0000,1
327,374,2741,1.2000,0.4560,2.0000,1
942,374,2741,2.3400,0.7722,1.0000,1
653,374,2741,8.3400,2.5854,3.0000,1
377,374,2741,6.3000,2.5830,3.0000,1
959,374,1627,3.0000,1.2600,2.0000,1
603,374,1627,2.4600,1.1808,2.0000,1
623,374,1627,3.6000,1.1880,2.0000,1
1449,374,4863,2.6100,0.8352,3.0000,1
1493,374,4863,11.8800,4.0392,3.0000,1
218,374,4863,3.4400,1.5824,1.0000,1
927,374,4863,1.8900,0.8127,3.0000,1
277,404,4600,4.8200,1.6870,2.0000,1
28,404,4600,3.9100,1.3685,1.0000,1
777,404,4600,3.7200,1.5252,1.0000,1
88,404,4600,0.8600,0.4214,1.0000,1
1003,404,10198,1.5600,0.5148,2.0000,1
1380,404,10198,10.8600,4.2354,3.0000,1
78,404,6403,4.3800,1.4892,2.0000,1
627,404,6403,3.4000,1.4960,2.0000,1
444,404,8177,2.5900,1.0878,1.0000,1
1087,404,8177,3.3200,1.4276,2.0000,1
1130,404,8177,1.5500,0.6045,1.0000,1
1413,404,8177,6.7600,2.3660,2.0000,1
151,404,8177,2.9100,1.3386,1.0000,1
1553,404,8177,1.8600,0.7254,1.0000,1
877,404,8177,3.1600,1.2008,2.0000,1
42,404,5649,5.6400,2.5944,2.0000,1
1123,404,5649,3.9200,1.7248,2.0000,1
1095,401,1627,1.5800,0.6794,1.0000,1
712,401,1627,7.7400,2.8638,2.0000,1
302,401,1627,6.9000,2.6910,2.0000,1
1118,401,1627,5.8600,2.8128,2.0000,1
1101,401,4772,2.6200,1.0480,1.0000,1
279,401,4772,2.8200,1.3818,1.0000,1
