time_id,city,state_province,country,store_sales,store_cost,unit_sales,fact_count
371,Anacortes,WA,USA,21.3800,8.3106,14.0000,7
371,Sedro Woolley,WA,USA,29.8100,12.5083,15.0000,8
394,Bellingham,WA,USA,8.4500,3.4203,5.0000,3
394,Sedro Woolley,WA,USA,41.6200,15.5723,17.0000,11
394,Anacortes,WA,USA,18.5300,7.3591,6.0000,5
376,Bellingham,WA,USA,60.1500,23.5880,26.0000,17
376,Sedro Woolley,WA,USA,23.4400,10.3696,12.0000,7
395,Anacortes,WA,USA,89.3600,33.8212,45.0000,27
395,Sedro Woolley,WA,USA,13.0200,5.2890,10.0000,5
374,Anacortes,WA,USA,31.5000,12.1025,16.0000,9
374,Sedro Woolley,WA,USA,28.7400,10.2581,13.0000,7
374,Bellingham,WA,USA,9.0600,3.6288,6.0000,3
404,Anacortes,WA,USA,25.7300,9.7523,10.0000,6
404,Bellingham,WA,USA,7.7800,2.9852,4.0000,2
404,Sedro Woolley,WA,USA,31.7100,13.0699,14.0000,9
401,Bellingham,WA,USA,28.0700,11.3549,12.0000,6
401,Sedro Woolley,WA,USA,12.5400,5.2260,6.0000,4
401,Anacortes,WA,USA,13.1900,5.9060,7.0000,4
420,Anacortes,WA,USA,44.4100,17.2046,18.0000,8
420,Bellingham,WA,USA,60.4300,24.4158,25.0000,12
420,Sedro Woolley,WA,USA,9.9800,3.6754,4.0000,3
407,Anacortes,WA,USA,51.1700,20.6667,25.0000,15
407,Sedro Woolley,WA,USA,3.1000,1.1386,3.0000,2
407,Bellingham,WA,USA,22.3700,8.2974,11.0000,7
399,Sedro Woolley,WA,USA,18.2000,6.3305,9.0000,7
399,Bellingham,WA,USA,29.5500,10.7920,11.0000,8
446,Anacortes,WA,USA,32.2300,12.1486,14.0000,8
446,Sedro Woolley,WA,USA,27.8700,10.8349,13.0000,8
446,Bellingham,WA,USA,5.5800,2.5458,3.0000,2
454,Bellingham,WA,USA,32.3700,14.1239,19.0000,8
454,Anacortes,WA,USA,11.6400,4.3494,4.0000,2
454,Sedro Woolley,WA,USA,41.1900,15.4309,19.0000,12
430,Anacortes,WA,USA,19.2800,8.1689,7.0000,5
430,Bellingham,WA,USA,44.9900,17.8240,23.0000,15
