product_id,promotion_id,customer_id,store_id,time_month,time_quarter,time_year,store_sales_sum,store_cost_sum,unit_sales_sum,fact_count
337,0,6280,2,1,Q1,1997,1.5000,0.5100,2.0000,1
1512,0,6280,2,1,Q1,1997,1.6200,0.6318,3.0000,1
963,0,4018,2,1,Q1,1997,2.4000,0.7200,1.0000,1
181,0,4018,2,1,Q1,1997,2.7900,1.0323,3.0000,1
1383,0,4018,2,1,Q1,1997,5.1800,2.1756,2.0000,1
1306,0,4018,2,1,Q1,1997,7.4100,2.7417,3.0000,1
1196,0,1418,2,1,Q1,1997,5.8400,1.9856,2.0000,1
360,0,1418,2,1,Q1,1997,2.6200,1.0480,2.0000,1
1242,0,1418,2,1,Q1,1997,3.9600,1.7028,2.0000,1
154,0,1418,2,1,Q1,1997,1.9600,0.7252,1.0000,1
483,0,4382,2,1,Q1,1997,3.8800,1.7072,2.0000,1
77,0,1293,2,1,Q1,1997,5.6000,2.8000,2.0000,1
533,0,1293,2,1,Q1,1997,4.8400,2.3232,2.0000,1
310,0,1293,2,1,Q1,1997,0.7600,0.3420,1.0000,1
1392,0,1293,2,1,Q1,1997,0.8300,0.3735,1.0000,1
1303,0,9305,2,1,Q1,1997,1.3600,0.4352,2.0000,1
748,0,9305,2,1,Q1,1997,4.4000,1.9360,2.0000,1
1270,0,9305,2,1,Q1,1997,2.6900,1.0491,1.0000,1
311,0,5649,2,1,Q1,1997,6.4500,2.3865,3.0000,1
194,0,5649,2,1,Q1,1997,3.3600,1.5120,1.0000,1
544,0,5649,2,1,Q1,1997,2.9500,1.0325,1.0000,1
610,0,6319,2,1,Q1,1997,2.2700,0.7491,1.0000,1
854,0,6319,2,1,Q1,1997,1.6000,0.6880,1.0000,1
538,0,6319,2,1,Q1,1997,1.8600,0.7440,2.0000,1
72,0,1771,2,1,Q1,1997,5.4800,2.0824,2.0000,1
182,0,1771,2,1,Q1,1997,1.8400,0.7360,1.0000,1
265,0,1771,2,1,Q1,1997,3.6100,1.3718,1.0000,1
15,0,1771,2,1,Q1,1997,4.5800,1.6030,2.0000,1
764,0,1771,2,1,Q1,1997,7.6200,2.6670,2.0000,1
335,0,3211,2,1,Q1,1997,3.7400,1.2716,1.0000,1
924,0,3211,2,1,Q1,1997,2.7000,0.8910,1.0000,1
302,0,3211,2,1,Q1,1997,3.4500,1.3455,1.0000,1
1024,0,3211,2,1,Q1,1997,7.9000,3.5550,2.0000,1
2,0,3211,2,1,Q1,1997,0.7400,0.2960,1.0000,1
1211,0,4217,2,1,Q1,1997,7.5800,2.3498,2.0000,1
1055,0,4217,2,1,Q1,1997,3.2400,1.1988,2.0000,1
379,0,4217,2,1,Q1,1997,7.7000,3.6960,2.0000,1
1017,0,4772,2,1,Q1,1997,5.7800,2.6010,2.0000,1
1221,0,4772,2,1,Q1,1997,2.9800,1.1324,2.0000,1
1437,0,4772,2,1,Q1,1997,3.4800,1.5660,2.0000,1
375,0,4772,2,1,Q1,1997,4.5800,2.1068,2.0000,1
1177,0,4772,2,1,Q1,1997,1.5400,0.7546,1.0000,1
1155,0,4772,2,1,Q1,1997,3.7600,1.6544,2.0000,1
79,0,4772,2,1,Q1,1997,1.3200,0.5544,1.0000,1
212,0,4787,2,1,Q1,1997,3.3200,1.5272,2.0000,1
934,0,4787,2,1,Q1,1997,1.1000,0.4400,1.0000,1
1471,0,4787,2,1,Q1,1997,1.5500,0.6510,1.0000,1
275,0,4787,2,1,Q1,1997,6.5400,2.0274,2.0000,1
809,0,2508,2,1,Q1,1997,2.4400,0.8784,2.0000,1
1091,0,2508,2,1,Q1,1997,7.1200,3.4888,2.0000,1
243,0,2508,2,1,Q1,1997,2.1100,0.7385,1.0000,1
1231,0,2508,2,1,Q1,1997,3.7100,1.3356,1.0000,1
56,0,1493,2,1,Q1,1997,0.7100,0.2982,1.0000,1
965,0,1493,2,1,Q1,1997,3.0600,1.1934,2.0000,1
209,0,1493,2,1,Q1,1997,1.8700,0.7667,1.0000,1
1331,0,1493,2,1,Q1,1997,2.7400,1.0686,1.0000,1
255,0,1493,2,1,Q1,1997,0.6400,0.2304,1.0000,1
366,0,1493,2,1,Q1,1997,4.7200,1.6992,2.0000,1
842,108,8178,2,1,Q1,1997,6.4000,2.1120,2.0000,1
1364,108,8178,2,1,Q1,1997,3.2000,1.5680,2.0000,1
942,108,8178,2,1,Q1,1997,4.6800,1.8252,2.0000,1
1064,108,8178,2,1,Q1,1997,1.0800,0.3240,2.0000,1
282,108,8178,2,1,Q1,1997,0.9300,0.3999,1.0000,1
1485,108,8178,2,1,Q1,1997,3.0000,1.0800,2.0000,1
542,108,7525,2,1,Q1,1997,1.5100,0.4681,1.0000,1
1118,108,7525,2,1,Q1,1997,2.9300,1.2306,1.0000,1
948,108,7525,2,1,Q1,1997,8.8800,2.9304,3.0000,1
632,108,7525,2,1,Q1,1997,0.8300,0.2739,1.0000,1
22,108,7525,2,1,Q1,1997,6.8700,3.0915,3.0000,1
293,108,7525,2,1,Q1,1997,1.6000,0.5280,1.0000,1
309,108,7525,2,1,Q1,1997,3.6200,1.2308,1.0000,1
86,108,3628,2,1,Q1,1997,5.9400,2.0790,2.0000,1
490,108,3628,2,1,Q1,1997,1.6500,0.8250,1.0000,1
107,108,3628,2,1,Q1,1997,3.6200,1.1222,2.0000,1
1255,108,3628,2,1,Q1,1997,1.2400,0.4960,1.0000,1
513,108,3628,2,1,Q1,1997,1.1600,0.4176,2.0000,1
879,108,3182,2,1,Q1,1997,2.2200,0.7548,2.0000,1
1228,108,3182,2,1,Q1,1997,4.3800,1.9272,2.0000,1
180,108,3182,2,1,Q1,1997,1.3800,0.6486,2.0000,1
623,108,3182,2,1,Q1,1997,3.6000,1.3680,2.0000,1
1265,108,3182,2,1,Q1,1997,1.4400,0.5904,2.0000,1
340,108,8878,2,1,Q1,1997,0.6300,0.2079,1.0000,1
556,108,8878,2,1,Q1,1997,6.5000,2.7300,2.0000,1
443,108,5164,2,1,Q1,1997,2.6600,1.1970,2.0000,1
221,108,5164,2,1,Q1,1997,7.3200,2.4888,2.0000,1
1302,108,5164,2,1,Q1,1997,3.7000,1.7390,2.0000,1
759,108,5164,2,1,Q1,1997,3.7800,1.1718,2.0000,1
830,108,5164,2,1,Q1,1997,2.4500,0.9555,1.0000,1
1446,108,5164,2,1,Q1,1997,1.2600,0.5418,1.0000,1
743,108,5164,2,1,Q1,1997,1.9200,0.7872,2.0000,1
826,0,8854,2,1,Q1,1997,1.8300,0.6954,1.0000,1
1003,0,8854,2,1,Q1,1997,1.5600,0.7020,2.0000,1
886,0,8854,2,1,Q1,1997,3.1100,1.3684,1.0000,1
726,0,599,2,1,Q1,1997,6.4200,2.3112,2.0000,1
1302,0,599,2,1,Q1,1997,1.8500,0.7030,1.0000,1
1545,0,599,2,1,Q1,1997,2.2900,0.8473,1.0000,1
281,0,9617,2,1,Q1,1997,2.6300,0.8942,1.0000,1
